donor_id,donor_name,donor_age,donor_color,structure_id,structure_name,structure_abbreviation,structure_color,top_level_structure_id,top_level_structure_name,top_level_structure_abbreviation,top_level_structure_color
117415819,"MMU36477","E40","F0F0F0",128011670,"outer ventricular zone of rostral cingulate cortex","rCGvzo","D14D46",3999,"brain","Br","E0E0E0"
113213682,"MMU37857","E40","F0F0F0",128011670,"outer ventricular zone of rostral cingulate cortex","rCGvzo","D14D46",3999,"brain","Br","E0E0E0"
125953538,"MMU38481","E40","F0F0F0",128011670,"outer ventricular zone of rostral cingulate cortex","rCGvzo","D14D46",3999,"brain","Br","E0E0E0"
183096414,"MMU31370","E40","F0F0F0",128012494,"outer ventricular zone of V1","V1vzo","D14D46",3999,"brain","Br","E0E0E0"
117415819,"MMU36477","E40","F0F0F0",128012494,"outer ventricular zone of V1","V1vzo","D14D46",3999,"brain","Br","E0E0E0"
125953538,"MMU38481","E40","F0F0F0",128012494,"outer ventricular zone of V1","V1vzo","D14D46",3999,"brain","Br","E0E0E0"
183096414,"MMU31370","E40","F0F0F0",128011674,"inner ventricular zone of rostral cingulate cortex","rCGvzi","CE3D39",3999,"brain","Br","E0E0E0"
117415819,"MMU36477","E40","F0F0F0",128011674,"inner ventricular zone of rostral cingulate cortex","rCGvzi","CE3D39",3999,"brain","Br","E0E0E0"
113213682,"MMU37857","E40","F0F0F0",128011674,"inner ventricular zone of rostral cingulate cortex","rCGvzi","CE3D39",3999,"brain","Br","E0E0E0"
125953538,"MMU38481","E40","F0F0F0",128011674,"inner ventricular zone of rostral cingulate cortex","rCGvzi","CE3D39",3999,"brain","Br","E0E0E0"
183096414,"MMU31370","E40","F0F0F0",128012498,"inner ventricular zone of V1","V1vzi","CE3D39",3999,"brain","Br","E0E0E0"
117415819,"MMU36477","E40","F0F0F0",128012498,"inner ventricular zone of V1","V1vzi","CE3D39",3999,"brain","Br","E0E0E0"
125953538,"MMU38481","E40","F0F0F0",128012498,"inner ventricular zone of V1","V1vzi","CE3D39",3999,"brain","Br","E0E0E0"
113213682,"MMU37857","E40","F0F0F0",128012490,"ventricular zone of V1","V1vz","BA2E2E",3999,"brain","Br","E0E0E0"
183096414,"MMU31370","E40","F0F0F0",128012250,"marginal zone of CA1","CA1mz","D1CEE2",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
117415819,"MMU36477","E40","F0F0F0",128012250,"marginal zone of CA1","CA1mz","D1CEE2",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213682,"MMU37857","E40","F0F0F0",128012250,"marginal zone of CA1","CA1mz","D1CEE2",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
125953538,"MMU38481","E40","F0F0F0",128012250,"marginal zone of CA1","CA1mz","D1CEE2",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
183096414,"MMU31370","E40","F0F0F0",128012274,"hippocampal subventricular zone of CA1","CA1szi","674881",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
117415819,"MMU36477","E40","F0F0F0",128012274,"hippocampal subventricular zone of CA1","CA1szi","674881",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213682,"MMU37857","E40","F0F0F0",128012274,"hippocampal subventricular zone of CA1","CA1szi","674881",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
183096414,"MMU31370","E40","F0F0F0",128012278,"hippocampal ventricular zone of CA1","CA1vz","5D457F",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
117415819,"MMU36477","E40","F0F0F0",128012278,"hippocampal ventricular zone of CA1","CA1vz","5D457F",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213682,"MMU37857","E40","F0F0F0",128012278,"hippocampal ventricular zone of CA1","CA1vz","5D457F",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
125953538,"MMU38481","E40","F0F0F0",128012278,"hippocampal ventricular zone of CA1","CA1vz","5D457F",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
183096414,"MMU31370","E40","F0F0F0",159658824,"cortical hem","Hem","937B7C",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
117415819,"MMU36477","E40","F0F0F0",159658824,"cortical hem","Hem","937B7C",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213682,"MMU37857","E40","F0F0F0",159658824,"cortical hem","Hem","937B7C",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
125953538,"MMU38481","E40","F0F0F0",159658824,"cortical hem","Hem","937B7C",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
183096414,"MMU31370","E40","F0F0F0",4002,"amygdaloid complex","Amy","C9E2B1",4002,"amygdaloid complex","Amy","C9E2B1"
117415819,"MMU36477","E40","F0F0F0",4002,"amygdaloid complex","Amy","C9E2B1",4002,"amygdaloid complex","Amy","C9E2B1"
113213682,"MMU37857","E40","F0F0F0",4002,"amygdaloid complex","Amy","C9E2B1",4002,"amygdaloid complex","Amy","C9E2B1"
125953538,"MMU38481","E40","F0F0F0",4002,"amygdaloid complex","Amy","C9E2B1",4002,"amygdaloid complex","Amy","C9E2B1"
183096414,"MMU31370","E40","F0F0F0",128012822,"lateral ganglionic eminence","LGE","937B7C",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
117415819,"MMU36477","E40","F0F0F0",128012822,"lateral ganglionic eminence","LGE","937B7C",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
113213682,"MMU37857","E40","F0F0F0",128012822,"lateral ganglionic eminence","LGE","937B7C",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
125953538,"MMU38481","E40","F0F0F0",128012822,"lateral ganglionic eminence","LGE","937B7C",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
183096414,"MMU31370","E40","F0F0F0",128012834,"medial ganglionic eminence","MGE","8C7373",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
117415819,"MMU36477","E40","F0F0F0",128012834,"medial ganglionic eminence","MGE","8C7373",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
113213682,"MMU37857","E40","F0F0F0",128012834,"medial ganglionic eminence","MGE","8C7373",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
125953538,"MMU38481","E40","F0F0F0",128012834,"medial ganglionic eminence","MGE","8C7373",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
183096414,"MMU31370","E40","F0F0F0",128012846,"caudal ganglionic eminence","CGE","81696B",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
117415819,"MMU36477","E40","F0F0F0",128012846,"caudal ganglionic eminence","CGE","81696B",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
113213682,"MMU37857","E40","F0F0F0",128012846,"caudal ganglionic eminence","CGE","81696B",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
125953538,"MMU38481","E40","F0F0F0",128012846,"caudal ganglionic eminence","CGE","81696B",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
183096414,"MMU31370","E40","F0F0F0",10082,"caudate nucleus","Ca","99A677",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
117415819,"MMU36477","E40","F0F0F0",10082,"caudate nucleus","Ca","99A677",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
113213682,"MMU37857","E40","F0F0F0",10082,"caudate nucleus","Ca","99A677",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
183096414,"MMU31370","E40","F0F0F0",10086,"putamen","Pu","A8B485",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
117415819,"MMU36477","E40","F0F0F0",10086,"putamen","Pu","A8B485",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
113213682,"MMU37857","E40","F0F0F0",10086,"putamen","Pu","A8B485",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
125953538,"MMU38481","E40","F0F0F0",10086,"putamen","Pu","A8B485",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
183096414,"MMU31370","E40","F0F0F0",10092,"nucleus accumbens","NAC","91A06E",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
117415819,"MMU36477","E40","F0F0F0",10092,"nucleus accumbens","NAC","91A06E",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
113213682,"MMU37857","E40","F0F0F0",10092,"nucleus accumbens","NAC","91A06E",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
125953538,"MMU38481","E40","F0F0F0",10092,"nucleus accumbens","NAC","91A06E",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
183096414,"MMU31370","E40","F0F0F0",10097,"globus pallidus","GP","D7E0BF",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
117415819,"MMU36477","E40","F0F0F0",10097,"globus pallidus","GP","D7E0BF",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
113213682,"MMU37857","E40","F0F0F0",10097,"globus pallidus","GP","D7E0BF",4001,"basal nuclei (basal ganglia)","BN","E2EACA"
113213399,"DAM37624","E50","E6E6E6",128011614,"marginal zone of rostral cingulate cortex","rCGmz","EEE0A8",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128011614,"marginal zone of rostral cingulate cortex","rCGmz","EEE0A8",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128011614,"marginal zone of rostral cingulate cortex","rCGmz","EEE0A8",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128011614,"marginal zone of rostral cingulate cortex","rCGmz","EEE0A8",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128012422,"marginal zone of V1","V1mz","EEE0A8",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128012422,"marginal zone of V1","V1mz","EEE0A8",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128012422,"marginal zone of V1","V1mz","EEE0A8",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128012422,"marginal zone of V1","V1mz","EEE0A8",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128011638,"inner cortical plate (infragranular layer) of rostral cingulate cortex","rCGcpi","E49C33",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128011638,"inner cortical plate (infragranular layer) of rostral cingulate cortex","rCGcpi","E49C33",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128011638,"inner cortical plate (infragranular layer) of rostral cingulate cortex","rCGcpi","E49C33",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128011638,"inner cortical plate (infragranular layer) of rostral cingulate cortex","rCGcpi","E49C33",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128011808,"inner cortical plate (infragranular layer) of S1","S1-cpi","E49C33",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128011808,"inner cortical plate (infragranular layer) of S1","S1-cpi","E49C33",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128011808,"inner cortical plate (infragranular layer) of S1","S1-cpi","E49C33",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128011808,"inner cortical plate (infragranular layer) of S1","S1-cpi","E49C33",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128012458,"inner cortical plate (infragranular layer) of V1","V1cpi","E49C33",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128012458,"inner cortical plate (infragranular layer) of V1","V1cpi","E49C33",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128012458,"inner cortical plate (infragranular layer) of V1","V1cpi","E49C33",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128012458,"inner cortical plate (infragranular layer) of V1","V1cpi","E49C33",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128011646,"subplate zone of rostral cingulate cortex","rCGsp","D38E32",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128011646,"subplate zone of rostral cingulate cortex","rCGsp","D38E32",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128011646,"subplate zone of rostral cingulate cortex","rCGsp","D38E32",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128011646,"subplate zone of rostral cingulate cortex","rCGsp","D38E32",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128011820,"subplate zone of S1","S1sp","D38E32",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128011820,"subplate zone of S1","S1sp","D38E32",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128011820,"subplate zone of S1","S1sp","D38E32",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128011820,"subplate zone of S1","S1sp","D38E32",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128012466,"subplate zone of V1","V1sp","D38E32",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128012466,"subplate zone of V1","V1sp","D38E32",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128012466,"subplate zone of V1","V1sp","D38E32",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128012466,"subplate zone of V1","V1sp","D38E32",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128011650,"intermediate zone of rostral cingulate cortex","rCGiz","EBBFD0",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128011650,"intermediate zone of rostral cingulate cortex","rCGiz","EBBFD0",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128011650,"intermediate zone of rostral cingulate cortex","rCGiz","EBBFD0",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128011650,"intermediate zone of rostral cingulate cortex","rCGiz","EBBFD0",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128012474,"intermediate zone of V1","V1iz","EBBFD0",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128012474,"intermediate zone of V1","V1iz","EBBFD0",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128012474,"intermediate zone of V1","V1iz","EBBFD0",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128012474,"intermediate zone of V1","V1iz","EBBFD0",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",159658800,"outer fiber (plexiform) zone of rostral cingulate cortex","rCGofz","E196B7",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",159658800,"outer fiber (plexiform) zone of rostral cingulate cortex","rCGofz","E196B7",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",159658800,"outer fiber (plexiform) zone of rostral cingulate cortex","rCGofz","E196B7",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",159658800,"outer fiber (plexiform) zone of rostral cingulate cortex","rCGofz","E196B7",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128011654,"subventricular zone of rostral cingulate cortex","rCGsz","D670A0",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128011654,"subventricular zone of rostral cingulate cortex","rCGsz","D670A0",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128011654,"subventricular zone of rostral cingulate cortex","rCGsz","D670A0",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128011654,"subventricular zone of rostral cingulate cortex","rCGsz","D670A0",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128011828,"subventricular zone of S1","S1sz","D670A0",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128011828,"subventricular zone of S1","S1sz","D670A0",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128011828,"subventricular zone of S1","S1sz","D670A0",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128011828,"subventricular zone of S1","S1sz","D670A0",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128012478,"subventricular zone of V1","V1sz","D670A0",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128012478,"subventricular zone of V1","V1sz","D670A0",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128012478,"subventricular zone of V1","V1sz","D670A0",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128012478,"subventricular zone of V1","V1sz","D670A0",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128011670,"outer ventricular zone of rostral cingulate cortex","rCGvzo","D14D46",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128011670,"outer ventricular zone of rostral cingulate cortex","rCGvzo","D14D46",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128011670,"outer ventricular zone of rostral cingulate cortex","rCGvzo","D14D46",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128011670,"outer ventricular zone of rostral cingulate cortex","rCGvzo","D14D46",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128011844,"outer ventricular zone of S1","S1vzo","D14D46",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128011844,"outer ventricular zone of S1","S1vzo","D14D46",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128011844,"outer ventricular zone of S1","S1vzo","D14D46",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128011844,"outer ventricular zone of S1","S1vzo","D14D46",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128012494,"outer ventricular zone of V1","V1vzo","D14D46",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128012494,"outer ventricular zone of V1","V1vzo","D14D46",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128012494,"outer ventricular zone of V1","V1vzo","D14D46",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128012494,"outer ventricular zone of V1","V1vzo","D14D46",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128011674,"inner ventricular zone of rostral cingulate cortex","rCGvzi","CE3D39",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128011674,"inner ventricular zone of rostral cingulate cortex","rCGvzi","CE3D39",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128011674,"inner ventricular zone of rostral cingulate cortex","rCGvzi","CE3D39",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128011674,"inner ventricular zone of rostral cingulate cortex","rCGvzi","CE3D39",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128011848,"inner ventricular zone of S1","S1vzi","CE3D39",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128011848,"inner ventricular zone of S1","S1vzi","CE3D39",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128011848,"inner ventricular zone of S1","S1vzi","CE3D39",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128011848,"inner ventricular zone of S1","S1vzi","CE3D39",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128012498,"inner ventricular zone of V1","V1vzi","CE3D39",3999,"brain","Br","E0E0E0"
113214658,"MMU30213","E50","E6E6E6",128012498,"inner ventricular zone of V1","V1vzi","CE3D39",3999,"brain","Br","E0E0E0"
121004395,"MMU36725","E50","E6E6E6",128012498,"inner ventricular zone of V1","V1vzi","CE3D39",3999,"brain","Br","E0E0E0"
113213835,"MMU38099","E50","E6E6E6",128012498,"inner ventricular zone of V1","V1vzi","CE3D39",3999,"brain","Br","E0E0E0"
113213399,"DAM37624","E50","E6E6E6",128012226,"granular layer anlage of dentate gyrus (cortex)","DGgra","543E74",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113214658,"MMU30213","E50","E6E6E6",128012226,"granular layer anlage of dentate gyrus (cortex)","DGgra","543E74",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
121004395,"MMU36725","E50","E6E6E6",128012226,"granular layer anlage of dentate gyrus (cortex)","DGgra","543E74",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213835,"MMU38099","E50","E6E6E6",128012226,"granular layer anlage of dentate gyrus (cortex)","DGgra","543E74",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213399,"DAM37624","E50","E6E6E6",159658820,"dentate migratory stream","DMS","50487F",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113214658,"MMU30213","E50","E6E6E6",159658820,"dentate migratory stream","DMS","50487F",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
121004395,"MMU36725","E50","E6E6E6",159658820,"dentate migratory stream","DMS","50487F",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213835,"MMU38099","E50","E6E6E6",159658820,"dentate migratory stream","DMS","50487F",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213399,"DAM37624","E50","E6E6E6",128012250,"marginal zone of CA1","CA1mz","D1CEE2",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113214658,"MMU30213","E50","E6E6E6",128012250,"marginal zone of CA1","CA1mz","D1CEE2",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
121004395,"MMU36725","E50","E6E6E6",128012250,"marginal zone of CA1","CA1mz","D1CEE2",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213835,"MMU38099","E50","E6E6E6",128012250,"marginal zone of CA1","CA1mz","D1CEE2",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213399,"DAM37624","E50","E6E6E6",128012258,"hippocampal plate of CA1","CA1cp","5D457F",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113214658,"MMU30213","E50","E6E6E6",128012258,"hippocampal plate of CA1","CA1cp","5D457F",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
121004395,"MMU36725","E50","E6E6E6",128012258,"hippocampal plate of CA1","CA1cp","5D457F",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213835,"MMU38099","E50","E6E6E6",128012258,"hippocampal plate of CA1","CA1cp","5D457F",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213399,"DAM37624","E50","E6E6E6",128012264,"hippocampal subplate of CA1","CA1sp","D1CEE2",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113214658,"MMU30213","E50","E6E6E6",128012264,"hippocampal subplate of CA1","CA1sp","D1CEE2",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
121004395,"MMU36725","E50","E6E6E6",128012264,"hippocampal subplate of CA1","CA1sp","D1CEE2",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213835,"MMU38099","E50","E6E6E6",128012264,"hippocampal subplate of CA1","CA1sp","D1CEE2",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213399,"DAM37624","E50","E6E6E6",128012274,"hippocampal subventricular zone of CA1","CA1szi","674881",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113214658,"MMU30213","E50","E6E6E6",128012274,"hippocampal subventricular zone of CA1","CA1szi","674881",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
121004395,"MMU36725","E50","E6E6E6",128012274,"hippocampal subventricular zone of CA1","CA1szi","674881",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213835,"MMU38099","E50","E6E6E6",128012274,"hippocampal subventricular zone of CA1","CA1szi","674881",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213399,"DAM37624","E50","E6E6E6",128012278,"hippocampal ventricular zone of CA1","CA1vz","5D457F",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113214658,"MMU30213","E50","E6E6E6",128012278,"hippocampal ventricular zone of CA1","CA1vz","5D457F",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
121004395,"MMU36725","E50","E6E6E6",128012278,"hippocampal ventricular zone of CA1","CA1vz","5D457F",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213835,"MMU38099","E50","E6E6E6",128012278,"hippocampal ventricular zone of CA1","CA1vz","5D457F",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213399,"DAM37624","E50","E6E6E6",159658824,"cortical hem","Hem","937B7C",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113214658,"MMU30213","E50","E6E6E6",159658824,"cortical hem","Hem","937B7C",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
121004395,"MMU36725","E50","E6E6E6",159658824,"cortical hem","Hem","937B7C",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
113213835,"MMU38099","E50","E6E6E6",159658824,"cortical hem","Hem","937B7C",4003,"hippocampal cortex (hippocampal formation)","HF","BFB5D5"
